fname,label
201102120709_16,B
201102120709_18,B
201102130609_17,E
201102130609_15,D
201102130609_16,A
201102130609_18,B
201102140722_15,D
201102140722_20,A
201102140722_17,E
201102140722_18,A
201102150659_17,E
201102150659_18,A
201102150659_20,B
201102160605_17,E
201102160605_20,E
201102170706_20,E
201102170706_17,E
201102180602_22,D
201102180602_20,E
201102180602_17,E
201102190613_22,D
201102220617_20,E
201102220617_22,D
201102280600_25,E
201102280600_24,A
201102280600_23,A
201103010754_23,A
201103010754_25,E
201103010754_24,B
201103030551_26,C
201103030551_25,F
201103030551_23,B
201103030551_24,B
201103040713_26,C
201103040713_29,B
201103050728_26,A
201103050728_25,E
201103050728_29,B
201103050728_27,E
201103050728_24,B
201103060606_25,F
201103060606_26,B
201103060606_27,E
201103060606_24,B
201103060606_29,B
201103060606_30,A
201103070531_27,E
201103070531_30,B
201103070531_25,E
201103070531_26,B
201103090600_31,E
201103090600_27,E
201103100928_31,C
201103100928_27,E
201103110823_27,E
201103110823_31,E
201103120610_34,A
201103120610_27,E
201103130954_27,E
201103130954_34,B
201103130954_33,B
201103140612_35,B
201103140612_33,B
201103140612_31,C
201103150558_34,B
201103150558_31,D
201103150558_33,A
201103160610_33,B
201103160610_36,C
201103170615_38,A
201103170615_36,D
201103170615_37,D
201103180917_38,B
201103180917_36,D
201103191033_36,B
201103191033_38,D
201103200802_39,B
201103200802_38,C
201103200802_36,B
201103210454_39,A
201103210454_38,D
201103230908_40,A
201103240655_40,A
201103240655_42,E
201103240655_41,A
201103250649_42,F
201103250649_40,B
201103250649_41,C
201103250649_44,A
201103260532_41,C
201103260532_40,A
201103260532_43,D
201103270618_44,B
201103270618_45,H
201103270618_41,B
201103270618_46,H
201103270618_43,D
201103280555_41,B
201103280555_46,A
201103280555_43,B
201103280555_45,H
201103290429_45,H
201103290429_43,C
201103290429_46,C
201103290429_41,B
201103290429_47,E
201103300618_47,E
201103300618_43,B
201103300618_45,H
201103300618_46,B
201103310647_50,A
201103310647_46,A
201103310647_47,E
201103310647_49,A
201103310647_43,B
201103310647_45,H
201104010414_45,C
201104010414_42,F
201104010414_51,B
201104010414_47,E
201104010414_50,B
201104060636_50,E
201104060636_52,C
201104080718_52,C
201104080718_53,D
201104080718_55,B
201104080718_54,B
201104090425_52,C
201104090425_53,E
201104090425_55,B
201104090425_54,A
201104090425_57,B
201104090425_56,D
201104100631_55,E
201104100631_58,A
201104100631_52,B
201104100631_56,C
201104100631_53,D
201104110553_56,B
201104110553_58,B
201104110553_53,D
201104110553_55,D
201104140427_60,D
201104140427_59,C
201104140427_55,C
201104140427_61,A
201104140427_62,C
201104140427_53,E
201104140427_56,A
201104140427_58,E
201104150754_60,H
201104150754_58,E
201104150754_59,D
201104150754_53,H
201104150754_63,E
201104150754_62,C
201104170415_63,E
201104170415_64,A
201104170415_58,C
201104170415_62,C
201104180525_58,C
201104200818_62,C
201104250353_68,C
201104250353_66,E
201104260353_70,C
201104260353_68,C
201104260353_71,B
201104260353_66,E
201104260353_72,B
201104270519_71,C
201104270519_72,A
201104270519_66,E
201104270519_70,D
201104270519_68,B
201104280400_66,E
201104280400_70,D
201104280400_71,B
201104290402_70,E
201104290402_66,E
201104290402_73,B
201104290402_68,B
201104290402_74,B
201104300739_71,B
201104300739_69,B
201104300739_68,A
201104300739_72,D
201105010359_68,A
201105010359_75,E
201105010359_69,B
201105010359_72,B
201105020359_76,E
201105020359_69,B
201105020359_75,H
201105020359_72,B
201105030349_69,B
201105030349_76,D
201105030349_77,C
201105030349_72,D
201105030349_75,C
201105030349_78,D
201105040334_69,B
201105040334_78,B
201105040334_77,C
201105040334_76,C
201105040334_75,C
201105040334_72,B
201105060424_77,A
201105060424_79,B
201105060424_75,H
201105060424_76,D
201105070600_80,A
201105070600_75,H
201105070600_81,B
201105070600_76,E
201105080713_75,H
201105080713_76,E
201105080713_82,A
201105080713_83,B
201105090705_84,D
201105090705_76,H
201105090705_86,D
201105090705_85,C
201105090705_75,H
201105100327_83,B
201105100327_88,B
201105100327_85,A
201105100327_87,C
201105100327_84,D
201105100327_86,D
201105110654_89,A
201105110654_86,D
201105110654_84,D
201105110654_87,H
201105121235_87,A
201105121235_84,E
201105150323_90,C
201105150323_91,D
201105150323_84,E
201105160808_94,B
201105160808_91,D
201105160808_84,C
201105160808_93,B
201105160808_92,D
201105170333_92,D
201105170333_94,A
201105170333_91,D
201105170333_93,B
201105180325_96,A
201105180325_92,B
201105180325_91,D
201105190519_96,B
201105190519_92,C
201105190519_95,H
201105190519_91,C
201105210351_97,B
201105210351_98,A
201105210351_95,C
201105210351_96,B
201105230310_95,H
201105230310_101,A
201105230310_97,H
201105240724_95,H
201105240724_97,B
201105250317_95,H
201105250317_102,B
201105260500_103,D
201105260500_102,C
201105260500_95,H
201105280316_103,D
201105280316_104,H
201105280316_105,D
201105290432_105,D
201105290432_107,B
201105290432_104,H
201105290432_103,A
201105300321_106,E
201105300321_103,A
201105300321_104,H
201105300321_105,D
201105300321_109,C
201105310328_104,H
201105310328_106,E
201105310328_105,D
201105310328_110,F
201105310328_109,D
201105310328_111,C
201106010320_110,E
201106010320_109,D
201106010320_104,H
201106010320_113,B
201106010320_111,E
201106010320_106,D
201106020344_115,D
201106020344_109,E
201106020344_106,E
201106020344_113,D
201106020344_104,H
201106020344_110,E
201106020344_111,E
201106030455_104,C
201106030455_111,C
201106030455_114,C
201106030455_110,E
201106030455_106,E
201106030455_113,D
201106030455_115,D
201106050314_110,E
201106050314_106,E
201106050314_114,C
201106050314_104,H
201106050314_111,D
201106060319_115,A
201106060319_111,D
201106060319_106,D
201106060319_114,D
201106060319_116,B
201106060319_110,D
201106070322_114,D
201106070322_106,D
201106070322_110,H
201106070322_111,D
201106080309_117,A
201106080309_110,H
201106080309_114,C
201106080309_111,D
201106090324_114,H
201106100309_114,E
201106100309_118,D
201106110308_118,D
201106110308_119,A
201106110308_114,H
201106130615_118,B
201106140402_118,D
201106150307_118,D
201106160257_118,E
201106160257_120,E
201106170317_120,F
201106170317_118,D
201106180502_118,E
201106180502_120,E
201106190412_122,D
201106200516_123,A
201106200516_120,E
201106210309_123,D
201106210309_124,D
201106210309_120,E
201106220252_120,E
201106220252_123,C
201106220252_124,D
201106230311_124,D
201106230311_125,H
201106230311_120,C
201106230311_123,D
201106240259_124,D
201106240259_120,E
201106240259_125,D
201106240259_123,C
201106250318_126,B
201106250318_125,D
201106250318_124,D
201106250318_123,B
201106260320_125,C
201106280750_125,A
201106280750_124,C
201106280750_126,D
201106290811_127,C
201106290811_126,C
201106300314_128,C
201106300314_127,D
201106300314_126,D
201107010414_127,D
201107010414_126,D
201107010414_128,D
201107020338_129,A
201107020338_127,E
201107020338_128,B
201107020338_126,C
201107030306_126,B
201107030306_127,E
201107030306_128,D
201107040321_127,C
201107040321_128,D
201107050303_127,D
201107050303_128,D
201107060458_127,C
201107070320_127,D
201107080456_130,C
201107080456_132,C
201107080456_131,C
201107091008_131,B
201107091008_130,D
201107091008_132,D
201107091008_134,A
201107110310_132,E
201107110310_135,D
201107110310_130,C
201107110310_134,C
201107120336_135,D
201107120336_137,A
201107120336_134,D
201107120336_132,E
201107120336_130,H
201107140423_130,H
201107140423_135,D
201107140423_138,A
201107140423_136,H
201107150512_135,D
201107150512_138,A
201107150512_136,H
201107150512_139,C
201107150512_130,A
201107150512_141,B
201107160412_139,C
201107160412_130,A
201107160412_140,E
201107160412_138,A
201107160412_135,C
201107160412_141,D
201107160412_136,H
201107160412_142,H
201107170428_141,C
201107170428_144,D
201107170428_136,H
201107170428_135,H
201107170428_138,B
201107170428_145,B
201107170428_147,A
201107170428_146,A
201107170428_140,D
201107180354_136,C
201107180354_138,B
201107180354_135,C
201107180354_146,A
201107180354_141,D
201107180354_144,D
201107180354_140,D
201107190543_141,D
201107190543_136,H
201107190543_140,E
201107190543_146,D
201107200514_136,H
201107200514_148,D
201107200514_146,C
201107200514_140,D
201107210424_140,D
201107210424_148,D
201107210424_136,H
201107220321_148,D
201107220321_140,E
201107230414_140,D
201107230414_148,D
201107230414_149,B
201107241011_148,C
201107241011_150,A
201107241011_140,C
201107250425_148,B
201107250425_149,A
201107250425_152,B
201107260354_152,B
201107270501_152,D
201107280403_156,A
201107280403_153,D
201107280403_157,A
201107280403_152,H
201107280403_158,A
201107290403_153,D
201107290403_154,A
201107300336_153,E
201107300336_160,D
201107300336_159,E
201107310458_153,D
201107310458_162,B
201107310458_157,C
201107310458_159,E
201107310458_160,C
201107310458_161,A
201108010624_160,H
201108010624_159,E
201108020353_159,E
201108020353_162,A
201108030356_159,D
201108030356_157,E
201108050458_157,E
201108050458_163,B
201108050458_164,B
201108050458_159,E
201108060439_163,D
201108060439_165,C
201108060439_159,E
201108070610_159,E
201108070610_163,D
201108070610_164,D
201108070610_165,B
201108080345_159,F
201108080345_163,D
201108080345_165,B
201108080345_166,A
201108080345_164,D
201108090459_163,C
201108090459_164,D
201108100351_165,B
201108100351_164,E
201108110404_167,D
201108110404_165,D
201108110404_168,H
201108110404_164,D
201108120604_170,H
201108120604_167,D
201108120604_169,D
201108130646_169,C
201108130646_171,A
201108170406_174,B
201108170406_172,E
201108170406_175,B
201108180402_173,C
201108180402_176,B
201108180402_174,D
201108180402_172,E
201108190414_172,E
201108190414_176,B
201108190414_174,H
201108190414_173,H
201108200452_174,B
201108200452_173,C
201108200452_172,E
201108200452_177,B
201108210426_172,E
201108210426_173,D
201108220350_177,D
201108220350_172,E
201108220350_173,D
201108230358_179,C
201108230358_173,D
201108230358_178,D
201108230358_180,H
201108230358_172,E
201108240353_181,A
201108240353_179,C
201108240353_172,E
201108240353_173,C
201108250345_183,B
201108250345_173,C
201108250345_182,A
201108250345_178,A
201108250345_172,E
201108250345_179,B
201108270521_185,H
201108270521_184,H
201108270521_186,C
201108270521_183,D
201108270521_179,D
201108270521_181,B
201108280720_179,B
201108280720_183,D
201108280720_185,H
201108280720_187,B
201108280720_184,H
201108290348_184,C
201108290348_183,B
201108290348_185,C
201108290348_178,A
201108290348_187,A
201108290348_179,H
201108300446_186,A
201108300446_189,B
201108300446_191,D
201108300446_185,C
201108300446_183,A
201108300446_188,C
201108300446_184,C
201108300446_190,B
201108300446_179,A
201108310356_189,D
201108310356_193,H
201108310356_191,D
201108310356_184,H
201108310356_188,D
201108310356_185,C
201109010347_188,D
201109010347_191,D
201109010347_193,D
201109010347_184,C
201109010347_185,H
201109010347_192,C
201109020922_193,D
201109020922_184,C
201109020922_183,B
201109020922_188,D
201109020922_185,H
201109020922_192,D
201109020922_194,A
201109020922_191,E
201109030801_195,A
201109030801_192,E
201109030801_185,C
201109030801_184,H
201109030801_188,C
201109030801_191,E
201109041211_184,H
201109041211_197,A
201109041211_192,E
201109041211_188,D
201109050341_198,C
201109050341_196,C
201109050341_188,C
201109060431_188,C
201109060431_199,A
201109060431_198,H
201109060431_196,E
201109070424_199,C
201109070424_196,C
201109070424_188,A
201109080403_200,D
201109080403_198,H
201109080403_192,F
201109080403_196,C
201109090410_196,C
201109090410_200,D
201109090410_192,E
201109090410_201,D
201109100848_200,C
201109100848_196,C
201109100848_201,D
201109100848_202,D
201109110505_200,D
201109110505_196,H
201109110505_201,D
201109110505_203,A
201109110505_204,B
201109110505_202,B
201109120612_208,D
201109120612_210,H
201109120612_200,D
201109120612_201,D
201109120612_196,D
201109120612_204,C
201109120612_209,C
201109130413_204,D
201109130413_209,C
201109130413_201,D
201109130413_206,C
201109130413_196,D
201109130413_205,A
201109140408_216,A
201109140408_215,A
201109140408_206,C
201109140408_214,D
201109140408_200,C
201109140408_211,C
201109140408_201,C
201109140408_209,C
201109140408_204,D
201109150414_200,C
201109150414_204,D
201109150414_205,B
201109150414_212,E
201109150414_211,C
201109150414_209,D
201109150414_201,C
201109150414_206,C
201109150414_213,E
201109150414_214,D
201109150414_202,B
201109150414_217,H
201109160406_218,A
201109160406_200,E
201109160406_209,D
201109160406_212,E
201109160406_217,D
201109160406_206,C
201109160406_204,C
201109160406_211,E
201109160406_201,B
201109160406_213,E
201109170714_213,D
201109170714_219,A
201109170714_200,C
201109170714_220,A
201109170714_211,E
201109170714_218,A
201109170714_212,C
201109170714_204,B
201109170714_217,E
201109170714_206,C
201109180708_218,C
201109180708_212,D
201109180708_213,A
201109180708_219,D
201109180708_211,D
201109180708_217,D
201109190435_218,H
201109190435_212,D
201109190435_211,E
201109190435_219,D
201109190435_223,A
201109190435_213,B
201109190435_222,A
201109190435_217,D
201109200534_218,D
201109200534_212,C
201109200534_217,D
201109200534_211,E
201109210425_211,E
201109210425_212,C
201109210425_224,A
201109210425_225,A
201109210425_217,C
201109210425_221,E
201109210425_218,B
201109220422_217,B
201109220422_225,C
201109220422_221,E
201109220422_212,C
201109220422_211,F
201109220422_226,A
201109230458_212,B
201109230458_225,A
201109240423_212,B
201109240423_228,F
201109240423_230,A
201109240423_229,C
201109240423_227,B
201109240423_231,C
201109240423_221,F
201109250751_227,B
201109250751_228,F
201109250751_231,D
201109260624_231,D
201109270437_232,H
201109270437_221,E
201109270437_231,D
201109270437_234,B
201109280555_232,C
201109280555_221,C
201109280555_233,H
201109280555_231,C
201109290442_233,H
201109290442_232,C
201109290442_221,C
201109290442_236,A
201109290442_231,C
201110010524_238,A
201110010524_239,A
201110010524_233,H
201110010524_232,C
201110010524_237,C
201110010524_235,D
201110030404_233,H
201110030404_232,C
201110030404_241,B
201110030404_240,A
201110030404_237,B
201110030404_235,H
201110040453_243,A
201110040453_237,B
201110040453_242,D
201110040453_235,C
201110040453_233,H
201110040453_232,C
201110040453_241,D
201110040453_244,C
201110050448_241,D
201110050448_233,H
201110050448_242,D
201110050448_232,C
201110050448_244,C
201110060445_233,B
201110060445_245,H
201110060445_240,A
201110060445_241,H
201110060445_242,C
201110060445_244,H
201110070450_242,C
201110070450_246,D
201110070450_244,C
201110070450_245,H
201110070450_241,C
201110080516_247,A
201110080516_246,E
201110080516_245,H
201110080516_244,H
201110080516_241,H
201110080516_242,D
201110090448_241,H
201110090448_244,H
201110090448_246,D
201110090448_245,H
201110090448_242,H
201110100726_246,D
201110100726_244,H
201110100726_249,A
201110100726_245,H
201110100726_242,H
201110100726_250,H
201110110544_250,D
201110110544_246,D
201110110544_242,H
201110110544_248,H
201110110544_245,H
201110120513_246,E
201110120513_254,A
201110120513_253,D
201110120513_252,D
201110120513_245,C
201110120513_256,B
201110120513_250,C
201110120513_242,H
201110120513_248,H
201110140724_252,E
201110140724_257,B
201110140724_258,B
201110140724_250,C
201110140724_248,C
201110140724_253,E
201110140724_245,C
201110140724_255,H
201110140724_246,C
201110140724_256,D
201110160657_255,H
201110160657_259,D
201110160657_248,C
201110160657_253,D
201110170651_260,C
201110170651_256,C
201110170651_253,D
201110170651_248,C
201110170651_255,H
201110180902_248,D
201110180902_253,D
201110180902_255,H
201110180902_260,D
201110180902_252,E
201110200907_248,H
201110200907_253,D
201110200907_252,E
201110200907_268,H
201110200907_260,C
201110200907_255,H
201110200907_265,C
201110200907_267,C
201110200907_266,A
201110200907_263,E
201110210724_267,D
201110210724_268,D
201110210724_260,C
201110210724_270,C
201110210724_271,B
201110210724_263,F
201110210724_255,H
201110210724_265,C
201110220511_269,E
201110220511_271,A
201110220511_265,C
201110220511_268,D
201110220511_270,H
201110220511_267,D
201110230618_267,D
201110230618_271,A
201110230618_269,D
201110230618_274,A
201110250652_272,F
201110250652_267,H
201110250652_269,D
201110260530_263,C
201110260530_269,D
201110260530_276,C
201110260530_267,C
201110260530_275,H
201110270557_269,C
201110270557_276,B
201110270557_275,H
201110280458_269,H
201110280458_276,D
201110280458_275,C
201110280458_263,D
201110290513_275,H
201110290513_276,D
201110290513_269,A
201110300536_275,H
201110300536_277,D
201110300536_276,C
201110310515_275,H
201110310515_276,A
201110310515_279,D
201110310515_277,D
201110310515_272,F
201111010507_277,D
201111010507_272,C
201111010507_280,A
201111010507_278,H
201111010507_279,B
201111010507_275,H
201111020803_279,A
201111020803_281,H
201111020803_277,C
201111020803_280,A
201111020803_275,H
201111020803_278,D
201111030829_281,D
201111030829_283,C
201111030829_277,H
201111030829_275,H
201111030829_278,B
201111030829_282,E
201111040631_284,F
201111040631_275,A
201111040631_277,H
201111040631_281,B
201111040631_282,E
201111040631_283,H
201111050609_284,F
201111050609_281,A
201111050609_283,C
201111050609_277,H
201111050609_282,C
201111070741_288,C
201111070741_285,H
201111070741_282,E
201111070741_287,H
201111070741_286,H
201111070741_283,H
201111080524_287,C
201111080524_288,D
201111080524_283,C
201111080524_282,D
201111080524_289,H
201111080524_292,H
201111080524_285,H
201111080524_294,A
201111080524_290,H
201111080524_291,H
201111120728_284,D
201111120728_295,E
201111120728_288,H
201111120728_292,H
201111120728_289,H
201111120728_285,H
201111120728_296,D
201111120728_297,A
201111140603_291,D
201111140603_292,H
201111140603_285,H
201111140603_289,H
201111140603_300,D
201111140603_299,D
201111140603_298,C
201111140603_288,H
201111150642_291,D
201111150642_292,H
201111150642_302,D
201111150642_288,H
201111150642_289,H
201111150642_303,A
201111150642_300,C
201111150642_298,F
201111160749_300,H
201111160749_301,D
201111160749_292,H
201111160749_302,C
201111160749_289,H
201111160749_298,D
201111160749_291,D
201111170752_301,D
201111170752_292,H
201111170752_298,C
201111170752_300,H
201111180644_300,H
201111180644_301,D
201111180644_304,E
201111190635_306,D
201111190635_304,E
201111190635_307,C
201111190635_305,E
201111190635_300,A
201111190635_302,A
201111190635_301,C
201111200554_304,C
201111200554_310,D
201111200554_301,A
201111200554_311,A
201111200554_306,C
201111200554_308,C
201111200554_307,C
201111200554_305,D
201111200554_298,C
201111220645_304,H
201111220645_310,D
201111220645_312,E
201111220645_313,A
201111220645_307,C
201111220645_314,A
201111220645_311,A
201111220645_305,D
201111220645_308,C
201111240553_304,C
201111240553_307,H
201111240553_305,C
201111240553_312,F
201111240553_310,C
201111240553_308,H
201111240553_313,B
201111250640_316,D
201111250640_305,H
201111250640_308,H
201111250640_304,H
201111250640_315,E
201111250640_306,A
201111250640_307,H
201111250640_313,D
201111280624_317,D
201111280624_315,D
201111280624_316,A
201111280624_312,E
201111280624_308,H
201112010709_318,E
201112010709_320,D
201112010709_315,H
201112010709_319,H
201112010709_321,H
201112010709_317,C
201112020813_322,C
201112020813_320,D
201112020813_319,H
201112020813_323,B
201112020813_321,H
201112020813_315,C
201112020813_317,C
201112030708_321,H
201112030708_319,H
201112030708_322,D
201112030708_318,E
201112030708_320,E
201112030708_315,H
201112030708_317,C
201112040706_322,D
201112040706_320,E
201112040706_324,B
201112040706_317,E
201112040706_319,H
201112040706_321,H
201112050854_319,H
201112050854_318,E
201112050854_327,C
201112050854_326,D
201112050854_322,D
201112050854_325,H
201112050854_320,E
201112050854_321,H
201112060652_327,H
201112060652_318,E
201112060652_322,D
201112060652_325,H
201112060652_321,H
201112060652_326,D
201112060652_328,C
201112060652_320,E
201112060652_329,A
201112070624_320,E
201112070624_330,H
201112070624_318,E
201112070624_319,H
201112070624_322,H
201112070624_325,H
201112070624_327,H
201112070624_321,H
201112070624_329,D
201112070624_331,H
201112070624_332,H
201112080843_334,C
201112080843_329,A
201112080843_330,A
201112080843_327,H
201112080843_332,C
201112080843_319,H
201112080843_321,D
201112080843_320,D
201112080843_325,H
201112110621_332,B
201112110621_325,H
201112110621_326,C
201112110621_335,C
201112110621_336,C
201112120818_332,B
201112120818_325,H
201112120818_335,H
201112120818_336,C
201112130554_335,D
201112130554_336,D
201112130554_325,H
201112130554_332,A
201112140643_339,A
201112140643_337,D
201112140643_335,D
201112140643_336,C
201112140643_338,D
201112150944_337,B
201112150944_335,D
201112150944_339,A
201112150944_336,H
201112150944_338,D
201112160543_338,D
201112160543_337,B
201112160543_336,H
201112160543_335,C
201112160543_339,C
201112170658_335,H
201112170658_337,A
201112170658_336,H
201112170658_339,B
201112170658_340,C
201112170658_338,D
201112190743_338,D
201112190743_342,D
201112190743_341,D
201112190743_340,D
201112190743_343,D
201112190743_337,H
201112210734_342,C
201112210734_341,B
201112210734_344,H
201112210734_337,D
201112210734_343,E
201112220811_343,E
201112220811_342,C
201112220811_344,H
201112220811_345,E
201112220811_346,A
201112230739_342,D
201112230739_345,E
201112230739_346,D
201112230739_344,C
201112230739_343,E
201112230739_347,A
201112240739_345,E
201112240739_344,C
201112240739_343,E
201112260845_345,E
201112260845_349,D
201112260845_344,H
201112260845_348,H
201112260845_351,A
201112260845_350,D
201112260845_346,C
201112260845_352,H
201112270718_348,D
201112270718_350,D
201112270718_345,D
201112270718_349,D
201112270718_344,H
201112280751_349,D
201112280751_345,D
201112280751_353,A
201112280751_348,D
201112290641_345,D
201112290641_348,D
201112290641_353,D
201112290641_344,H
201112290641_349,D
201112290641_354,H
201112300834_355,H
201112300834_349,H
201112300834_356,E
201112300834_354,H
201112300834_353,D
201112300834_348,C
201112310544_354,H
201112310544_355,H
201112310544_356,E
201112310544_349,H
201112310544_353,E
201201010637_349,H
201201010637_355,C
201201010637_354,H
201201010637_356,E
201201020925_1,A
201201020925_349,H
201201020925_356,E
201201020925_354,H
201201020925_355,H
201201020925_353,D
201201050731_2,B
201201050731_3,D
201201050731_4,E
201201050731_356,C
201201050731_355,H
201201050731_354,H
201201070632_5,D
201201070632_355,C
201201070632_4,E
201201070632_2,D
201201070632_3,D
201201081008_2,H
201201081008_4,E
201201081008_3,D
201201090754_7,H
201201090754_3,E
201201090754_4,E
201201100706_4,E
201201100706_7,C
201201110837_7,D
201201110837_4,E
201201110837_9,C
201201110837_8,A
201201120939_10,H
201201120939_7,H
201201120939_4,E
201201130647_4,D
201201130647_7,D
201201130647_10,D
201201130647_11,D
201201140853_10,D
201201140853_11,D
201201140853_12,D
201201140853_7,C
201201140853_13,C
201201180633_10,B
201201180633_16,C
201201180633_19,H
201201180633_14,C
201201180633_17,F
201201180633_18,D
201201190732_19,H
201201190732_20,B
201201190732_18,D
201201200813_19,H
201201200813_18,E
201201200813_20,D
201201210638_18,H
201201210638_19,D
201201210638_20,C
201201220752_19,H
201201220752_20,E
201201220752_18,D
201201220752_21,A
201201230818_22,H
201201230818_19,A
201201230818_18,C
201201230818_23,D
201201230818_20,C
201201240842_22,H
201201240842_18,D
201201240842_17,F
201201240842_23,H
201201240842_19,H
201201250629_22,H
